"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
8036024,1429,42431392,"Entire home/apt",NA,"Boston",NA,"North End",150,5,3,1,NA,150,NA,"Upscale Faneuil Hall / N. End Oasis",2017-07-10 16:21:09,42.363456,-71.057207,"0101000020E61000008C868C47A9C351C07AC4E8B9852E4540"
4924910,1429,24997738,"Entire home/apt",NA,"Boston",NA,"North End",159,4.5,2,1,NA,160,NA,"Cozy Spot in Boston's Little Italy",2017-07-10 16:21:08,42.365763,-71.057356,"0101000020E6100000AE0E80B8ABC351C01E8B6D52D12E4540"
708802,1429,3648427,"Entire home/apt",NA,"Boston",NA,"Charlestown",260,5,4,1,NA,150,NA,"Boston / Charlestown Apartment",2017-07-10 16:21:08,42.37755,-71.062805,"0101000020E61000009E4143FF04C451C06A4DF38E53304540"
14760955,1429,1118374,"Entire home/apt",NA,"Boston",NA,"Beacon Hill",86,4.5,4,1,NA,143,NA,"Beacon Hill | 1 Bedroom In Downtown Boston",2017-07-10 16:21:08,42.35714,-71.068589,"0101000020E610000062F71DC363C451C0F60B76C3B62D4540"
8052617,1429,21184200,"Entire home/apt",NA,"Boston",NA,"South Boston",101,4.5,5,2,NA,175,NA,"Luxurious South Boston Duplex- BCEC, RedLine T!",2017-07-10 16:21:07,42.339232,-71.047869,"0101000020E6100000815F234910C351C0DBE044F46B2B4540"
15471042,1429,66533138,"Entire home/apt",NA,"Boston",NA,"North End",55,5,2,1,NA,165,NA,"Central Boston luxury 1brm w/ sleep sofa and gym",2017-07-10 16:21:07,42.363611,-71.056799,"0101000020E610000083DC4598A2C351C0A1BB24CE8A2E4540"
2331886,1429,11909974,"Entire home/apt",NA,"Boston",NA,"Back Bay",62,5,3,1,NA,179,NA,"1 Bedroom in Back Bay—perfect location!",2017-07-10 16:21:05,42.352969,-71.079236,"0101000020E61000009D2ADF3312C551C03CC093162E2D4540"
1682936,1429,8898973,"Entire home/apt",NA,"Boston",NA,"Roxbury",86,5,4,1,NA,140,NA,"Charming 2 level Apartment",2017-07-10 16:19:18,42.323707,-71.09458,"0101000020E6100000C3B645990DC651C03E3E213B6F294540"
5025015,1429,25932315,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",139,4.5,5,3,NA,135,NA,"Beautiful Apartment in Boston!",2017-07-10 16:19:18,42.325049,-71.106296,"0101000020E610000085ECBC8DCDC651C07B4CA4349B294540"
14274311,1429,52580942,"Entire home/apt",NA,"Boston",NA,"Fenway",76,5,2,1,NA,135,NA,"Cozy luxury Apt near prudential Center",2017-07-10 16:19:17,42.342077,-71.084565,"0101000020E6100000B858518369C551C05EDBDB2DC92B4540"
6695,1429,8229,"Entire home/apt",NA,"Boston",NA,"Roxbury",56,5,4,1,NA,125,NA,"$125 Special!! Home Away! Condo",2017-07-10 16:19:16,42.329941,-71.093505,"0101000020E6100000CC4065FCFBC551C0054EB6813B2A4540"
10106081,1429,40885583,"Entire home/apt",NA,"Boston",NA,"North End",56,5,2,1,NA,135,NA,"In the heart of North End, Boston.",2017-07-10 16:19:13,42.366465,-71.053757,"0101000020E6100000973B33C170C351C077103B53E82E4540"
2658094,1429,5578043,"Entire home/apt",NA,"Boston",NA,"North End",100,4.5,6,2,NA,129,NA,"Boston  Little Italy 2 Bdrms  (H2D)",2017-07-10 16:19:13,42.366658,-71.051928,"0101000020E6100000CA6FD1C952C351C08C683BA6EE2E4540"
11120777,1429,21184200,"Entire home/apt",NA,"Boston",NA,"Beacon Hill",63,5,7,2,NA,125,NA,"ROOF DECK, 2Bedroom Apartment in Beacon Hill!",2017-07-10 16:19:13,42.359654,-71.07041,"0101000020E6100000EDD3F19881C451C013F06B24092E4540"
