"INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"I172092108","03201","Property Lost","PROPERTY - LOST","E18",499,NA,2017-11-03 19:42:00,2017,11,"Friday",19,"Part Three","AMERICAN LEGION HWY",42.27727177,-71.11572996,"(42.27727177, -71.11572996)"
"I172092102","00361","Robbery","ROBBERY - OTHER","A7",902,NA,2017-11-03 17:26:00,2017,11,"Friday",17,"Part One","MARGINAL ST",42.36728587,-71.04041697,"(42.36728587, -71.04041697)"
"I172092023","03201","Property Lost","PROPERTY - LOST","C6",199,NA,2017-11-03 16:17:00,2017,11,"Friday",16,"Part Three","GOLD ST",42.34046617,-71.05627998,"(42.34046617, -71.05627998)"
"I172091895","03201","Property Lost","PROPERTY - LOST","B3",427,NA,2017-11-01 16:00:00,2017,11,"Wednesday",16,"Part Three","MILDRED AVE",42.27665388,-71.09121606,"(42.27665388, -71.09121606)"
"I172091887","03201","Property Lost","PROPERTY - LOST","C6",206,NA,2017-11-03 08:46:00,2017,11,"Friday",8,"Part Three","CONGRESS ST",42.35096784,-71.0494023,"(42.35096784, -71.04940230)"
"I172091883","00301","Robbery","ROBBERY - STREET","A1",111,NA,2017-11-03 07:05:00,2017,11,"Friday",7,"Part One","TREMONT ST",42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
"I172091862","00301","Robbery","ROBBERY - STREET","A1",116,NA,2017-11-03 03:22:00,2017,11,"Friday",3,"Part One","BEACH ST",42.35125902,-71.06009371,"(42.35125902, -71.06009371)"
"I172091857","03201","Property Lost","PROPERTY - LOST","A1",117,NA,2017-11-03 03:16:00,2017,11,"Friday",3,"Part Three","STUART ST",42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
"I172091856","03201","Property Lost","PROPERTY - LOST","A1",114,NA,2017-11-03 01:01:00,2017,11,"Friday",1,"Part Three","ATLANTIC AVE",42.35438252,-71.05213281,"(42.35438252, -71.05213281)"
"I172091842","00311","Robbery","ROBBERY - COMMERCIAL","D4",134,NA,2017-11-03 00:15:00,2017,11,"Friday",0,"Part One","BOYLSTON ST",42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
"I172091819","00311","Robbery","ROBBERY - COMMERCIAL","E18",521,NA,2017-11-02 22:34:00,2017,11,"Thursday",22,"Part One","FAIRMOUNT AVE",42.2554572,-71.12078435,"(42.25545720, -71.12078435)"
"I172091776","00301","Robbery","ROBBERY - STREET","C11",346,NA,2017-11-02 19:41:00,2017,11,"Thursday",19,"Part One","ROBINSON ST",42.3030381,-71.06102719,"(42.30303810, -71.06102719)"
"I172091753","03201","Property Lost","PROPERTY - LOST","C11",370,NA,2017-09-29 19:00:00,2017,9,"Friday",19,"Part Three","WILLIAM T MORRISSEY BLVD",42.29767279,-71.04941018,"(42.29767279, -71.04941018)"
"I172091712","03201","Property Lost","PROPERTY - LOST","B3",406,NA,2017-11-02 16:57:00,2017,11,"Thursday",16,"Part Three","RIVER ST",42.27136131,-71.0810083,"(42.27136131, -71.08100830)"
"I172091691","03201","Property Lost","PROPERTY - LOST","B3",476,NA,2017-11-01 22:30:00,2017,11,"Wednesday",22,"Part Three","BLUE HILL AVE",42.26817397,-71.09387677,"(42.26817397, -71.09387677)"
"I172091683","03201","Property Lost","PROPERTY - LOST","B3",944,NA,2017-11-02 15:15:00,2017,11,"Thursday",15,"Part Three","AMES ST",42.28956988,-71.08510501,"(42.28956988, -71.08510501)"
"I172091671","00301","Robbery","ROBBERY - STREET","D4",273,NA,2017-11-02 13:20:00,2017,11,"Thursday",13,"Part One","SHAWMUT AVE",42.33602271,-71.0799671,"(42.33602271, -71.07996710)"
"I172091660","03201","Property Lost","PROPERTY - LOST","D4",138,NA,2017-11-02 13:53:00,2017,11,"Thursday",13,"Part Three","NEWBURY ST",42.35059717,-71.07881031,"(42.35059717, -71.07881031)"
"I172091641","03201","Property Lost","PROPERTY - LOST","B3",465,NA,2017-10-30 13:00:00,2017,10,"Monday",13,"Part Three","BLUE HILL AVE",42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
"I172091622","03201","Property Lost","PROPERTY - LOST","B3",482,NA,2017-10-31 17:55:00,2017,10,"Tuesday",17,"Part Three","RIVER ST",42.26726416,-71.09461109,"(42.26726416, -71.09461109)"
"I172091600","03201","Property Lost","PROPERTY - LOST","A7",26,NA,2017-11-02 10:50:00,2017,11,"Thursday",10,"Part Three","MERIDIAN ST",42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
"I172091597","03201","Property Lost","PROPERTY - LOST","B3",435,NA,2017-10-31 07:00:00,2017,10,"Tuesday",7,"Part Three","NORFOLK ST",42.2874272,-71.07853773,"(42.28742720, -71.07853773)"
"I172091570","03201","Property Lost","PROPERTY - LOST","C6",936,NA,2017-11-02 08:00:00,2017,11,"Thursday",8,"Part Three","W BROADWAY",42.34060608,-71.05362687,"(42.34060608, -71.05362687)"
"I172091566","03201","Property Lost","PROPERTY - LOST","B2",287,NA,2017-11-01 16:00:00,2017,11,"Wednesday",16,"Part Three","WASHINGTON ST",42.33044113,-71.08373481,"(42.33044113, -71.08373481)"
"I172091560","03201","Property Lost","PROPERTY - LOST","A1",75,NA,2017-10-25 10:00:00,2017,10,"Wednesday",10,"Part Three","CAUSEWAY ST",42.3649755,-71.062044,"(42.36497550, -71.06204400)"
"I172091553","00301","Robbery","ROBBERY - STREET","A15",59,NA,2017-11-02 05:13:00,2017,11,"Thursday",5,"Part One","MAIN ST",42.37515337,-71.06409893,"(42.37515337, -71.06409893)"
"I172091544","03201","Property Lost","PROPERTY - LOST","C11",249,NA,2017-10-25 03:18:00,2017,10,"Wednesday",3,"Part Three","TUTTLE ST",42.31351886,-71.053563,"(42.31351886, -71.05356300)"
